RunID,AgentID,EvacuationStep,EvacuationTime
run001,-1247340,26,7.81
run001,-1247480,26,7.81
run001,-1247536,27,8.10
run001,-1247564,27,8.10
run001,-1247746,27,8.10
run001,-1247326,28,8.40
run001,-1247452,28,8.40
run001,-1247634,28,8.40
run001,-1247648,29,8.70
run001,-1247886,29,8.70
run001,-1248012,29,8.70
run001,-1247998,30,9.00
run001,-1247298,31,9.30
run001,-1247410,31,9.30
run001,-1247550,32,9.60
run001,-1247186,34,10.20
run001,-1247438,34,10.20
run001,-1247606,34,10.20
run001,-1247256,36,10.81
run001,-1247508,37,11.10
run001,-1247760,39,11.71
run001,-1247816,39,11.71
run001,-1247858,39,11.71
run001,-1247872,40,12.00
run001,-1248578,2,0.60
run001,-1248438,9,2.70
run001,-1248494,9,2.70
run001,-1248186,13,3.90
run001,-1248508,13,3.90
run001,-1248718,14,4.20
run001,-1248032,15,4.50
run001,-1248060,15,4.50
run001,-1248410,15,4.50
run001,-1248606,15,4.50
run001,-1248130,16,4.81
run001,-1248200,16,4.81
run001,-1248550,16,4.81
run001,-1248774,16,4.81
run001,-1248172,17,5.10
run001,-1248270,17,5.10
run001,-1248802,17,5.10
run001,-1248858,17,5.10
run001,-1248116,18,5.40
run001,-1248340,18,5.40
run001,-1248592,18,5.40
run001,-1248354,19,5.70
run001,-1248522,20,6.00
run001,-1248256,21,6.30
run001,-1248368,22,6.60
run001,-1248690,22,6.60
run001,-1248844,22,6.60
run001,-1248144,23,6.90
run001,-1248620,23,6.90
run001,-1248634,23,6.90
run001,-1248102,24,7.20
run001,-1248480,24,7.20
run001,-1248046,25,7.50
run001,-1248564,25,7.50
run001,-1248662,25,7.50
run001,-1248284,26,7.80
run001,-1248312,26,7.80
run001,-1248746,26,7.80
run001,-1248326,27,8.11
run001,-1248396,27,8.11
run001,-1248704,27,8.11
run001,-1248732,27,8.11
run001,-1248760,27,8.11
run001,-1248816,27,8.11
run001,-1248648,29,8.71
run001,-1248788,29,8.71
run001,-1248676,30,9.01
run001,-1248830,30,9.01
run001,-1248074,31,9.30
run001,-1248452,31,9.30
run001,-1248466,31,9.30
run001,-1248536,31,9.30
run001,-1248158,32,9.60
run001,-1248382,33,9.91
run001,-1248088,36,10.80
run001,-1248242,37,11.10
run001,-1248228,42,12.60
run001,-1248298,42,12.60
run001,-1248214,45,13.51
run001,-1249018,3,0.90
run001,-1249494,7,2.11
run001,-1249326,8,2.40
run001,-1249158,10,3.00
run001,-1249662,11,3.30
run001,-1249060,12,3.60
run001,-1249242,12,3.60
run001,-1249354,12,3.60
run001,-1249424,12,3.60
run001,-1249004,13,3.90
run001,-1249032,14,4.20
run001,-1248962,15,4.50
run001,-1249116,16,4.80
run001,-1249676,16,4.80
run001,-1249088,17,5.10
run001,-1249200,17,5.10
run001,-1248878,18,5.40
run001,-1249578,18,5.40
run001,-1249648,18,5.40
run001,-1249074,19,5.70
run001,-1249144,19,5.70
run001,-1249382,19,5.70
run001,-1249592,19,5.70
run001,-1248906,20,6.00
run001,-1249438,20,6.00
run001,-1249522,20,6.00
run001,-1249536,20,6.00
run001,-1248934,21,6.30
run001,-1248976,21,6.30
run001,-1249396,21,6.30
run001,-1249270,22,6.60
run001,-1249284,22,6.60
run001,-1249298,22,6.60
run001,-1249046,23,6.90
run001,-1249172,23,6.90
run001,-1249480,23,6.90
run001,-1249452,24,7.21
run001,-1249312,25,7.51
run001,-1249466,25,7.51
run001,-1249704,25,7.51
run001,-1248920,26,7.80
run001,-1249102,26,7.80
run001,-1249228,26,7.80
run001,-1249508,26,7.80
run001,-1249690,26,7.80
run001,-1249620,27,8.11
run001,-1249186,28,8.40
run001,-1249368,28,8.40
run001,-1249634,29,8.70
run001,-1248990,30,9.00
run001,-1249550,30,9.00
run001,-1249256,31,9.31
run001,-1249130,32,9.61
run001,-1248892,34,10.21
run001,-1249564,34,10.21
run001,-1249214,37,11.11
run001,-1249410,38,11.41
run001,-1249606,38,11.41
run001,-1249340,42,12.61
run001,-1250326,2,0.60
run001,-1249864,4,1.21
run001,-1250004,7,2.10
run001,-1250172,7,2.10
run001,-1250298,7,2.10
run001,-1249920,8,2.41
run001,-1249892,9,2.71
run001,-1249822,10,3.00
run001,-1250046,11,3.30
run001,-1250116,12,3.60
run001,-1249962,13,3.90
run001,-1250102,14,4.20
run001,-1250438,14,4.20
run001,-1250130,15,4.50
run001,-1250354,15,4.50
run001,-1250452,15,4.50
run001,-1250494,15,4.50
run001,-1249794,16,4.80
run001,-1249836,16,4.80
run001,-1250018,16,4.80
run001,-1250074,16,4.80
run001,-1250144,16,4.80
run001,-1250270,16,4.80
run001,-1250158,17,5.10
run001,-1250228,17,5.10
run001,-1250284,17,5.10
run001,-1250410,18,5.41
run001,-1249808,20,6.01
run001,-1249976,21,6.30
run001,-1250032,21,6.30
run001,-1250200,21,6.30
run001,-1250368,21,6.30
run001,-1250508,21,6.30
run001,-1249850,22,6.60
run001,-1250466,22,6.60
run001,-1250536,23,6.90
run001,-1249752,24,7.20
run001,-1249766,24,7.20
run001,-1250242,24,7.20
run001,-1249878,25,7.51
run001,-1249906,25,7.51
run001,-1250550,25,7.51
run001,-1249780,26,7.80
